,node_id,geometry,total_positions,unique_participants,submuni_index,muni_index,node_type,node_x,node_y
0,0,POINT (201901.09305276594 460064.8524866409),1,1.0,288.0,16.0,intersection_municipality,201901.09305276594,460064.8524866409
1,1,POINT (195828.09700181024 444755.10214668297),965,22.0,118.0,5.0,submunicipality_detailed,195828.09700181024,444755.10214668297
2,2,POINT (196137.55976589286 444924.9730146606),1219,22.0,106.0,5.0,submunicipality_detailed,196137.55976589286,444924.9730146606
3,3,POINT (195965.3856631916 444895.5998037232),220,21.0,106.0,5.0,submunicipality_detailed,195965.3856631916,444895.5998037232
4,4,POINT (195498.75570540252 444686.6079965508),192,17.0,106.0,5.0,submunicipality_detailed,195498.75570540252,444686.6079965508
5,5,POINT (195515.64518240665 444243.08501786896),93,9.0,118.0,5.0,submunicipality_detailed,195515.64518240665,444243.08501786896
6,6,POINT (196555.10429225944 445022.91103062616),39,14.0,107.0,5.0,submunicipality_detailed,196555.10429225944,445022.91103062616
7,7,POINT (195831.42367946246 444289.76756789564),136,11.0,118.0,5.0,submunicipality_detailed,195831.42367946246,444289.76756789564
8,8,POINT (195305.83115030953 444557.4316287124),237,21.0,117.0,5.0,intersection,195305.83115030953,444557.4316287124
9,9,POINT (195728.15731256464 443926.883399271),30,10.0,118.0,5.0,submunicipality_detailed,195728.15731256464,443926.883399271
10,10,POINT (196435.2919564513 445104.5532340499),353,22.0,107.0,5.0,submunicipality_detailed,196435.2919564513,445104.5532340499
11,11,POINT (187894.07683146055 447801.56434865424),1,1.0,175.0,9.0,intersection_submunicipality,187894.07683146055,447801.56434865424
12,12,POINT (195794.5142629553 445399.8271915438),14,9.0,106.0,5.0,submunicipality_detailed,195794.5142629553,445399.8271915438
13,13,POINT (194986.84718758398 444100.6768919824),5,4.0,117.0,5.0,intersection,194986.84718758398,444100.6768919824
14,14,POINT (196648.74265427608 445087.2840362033),30,11.0,107.0,5.0,submunicipality_detailed,196648.74265427608,445087.2840362033
15,15,POINT (195923.62488462572 445674.3406710518),47,12.0,106.0,5.0,submunicipality_detailed,195923.62488462572,445674.3406710518
16,16,POINT (198422.0080396129 452584.2287668064),8,6.0,421.0,24.0,intersection_submunicipality,198422.0080396129,452584.2287668064
17,17,POINT (195354.4279985304 445642.8181174044),29,9.0,106.0,5.0,submunicipality_detailed,195354.4279985304,445642.8181174044
18,18,POINT (195592.79434947658 444899.64549458754),38,13.0,106.0,5.0,submunicipality_detailed,195592.79434947658,444899.64549458754
19,19,POINT (195159.5122925375 445799.12452786433),12,6.0,106.0,5.0,submunicipality_detailed,195159.5122925375,445799.12452786433
20,20,POINT (195015.35929403748 445723.4393151016),38,9.0,106.0,5.0,submunicipality_detailed,195015.35929403748,445723.4393151016
21,21,POINT (194785.41475021653 445746.13466230466),37,14.0,106.0,5.0,submunicipality_detailed,194785.41475021653,445746.13466230466
22,22,POINT (196739.335884271 445146.09877873125),103,13.0,107.0,5.0,submunicipality_detailed,196739.335884271,445146.09877873125
23,23,POINT (195213.93282568824 445700.9789959337),11,5.0,106.0,5.0,submunicipality_detailed,195213.93282568824,445700.9789959337
24,24,POINT (194644.42523855195 445694.79333526676),42,14.0,119.0,5.0,intersection,194644.42523855195,445694.79333526676
25,25,POINT (196419.2999276848 444307.1852597644),243,10.0,107.0,5.0,submunicipality_detailed,196419.2999276848,444307.1852597644
26,26,POINT (196002.26854201232 443577.6046116831),11,6.0,118.0,5.0,submunicipality_detailed,196002.26854201232,443577.6046116831
27,27,POINT (195883.0546349458 443716.60968377744),19,7.0,118.0,5.0,submunicipality_detailed,195883.0546349458,443716.60968377744
28,28,POINT (196526.4952412355 445445.43283011205),10,6.0,106.0,5.0,submunicipality_detailed,196526.4952412355,445445.43283011205
29,29,POINT (195826.10355509855 443088.68588539434),1,1.0,118.0,5.0,submunicipality_detailed,195826.10355509855,443088.68588539434
30,30,POINT (204933.00380757207 449130.18605657894),1,1.0,363.0,21.0,intersection_submunicipality,204933.00380757207,449130.18605657894
31,31,POINT (204528.3029140797 449281.7081785861),1,1.0,365.0,21.0,intersection_submunicipality,204528.3029140797,449281.7081785861
32,32,POINT (197014.9592745156 444963.5176453793),26,11.0,107.0,5.0,submunicipality_detailed,197014.9592745156,444963.5176453793
33,33,POINT (192756.12923280336 445774.2515829027),3,2.0,132.0,6.0,intersection,192756.12923280336,445774.2515829027
34,34,POINT (196056.55673057813 442604.753968415),35,5.0,88.0,4.0,intersection,196056.55673057813,442604.753968415
35,35,POINT (197785.51073593242 444618.7455172106),7,6.0,107.0,5.0,submunicipality_detailed,197785.51073593242,444618.7455172106
36,36,POINT (195672.83505553805 445600.4407133219),56,16.0,106.0,5.0,submunicipality_detailed,195672.83505553805,445600.4407133219
37,37,POINT (186761.8940906893 449673.56808639516),1,1.0,174.0,9.0,intersection_submunicipality,186761.8940906893,449673.56808639516
38,38,POINT (197280.44545001924 444837.69728928455),3,3.0,107.0,5.0,submunicipality_detailed,197280.44545001924,444837.69728928455
39,39,POINT (196681.54647901072 443360.5918607373),7,6.0,118.0,5.0,submunicipality_detailed,196681.54647901072,443360.5918607373
40,40,POINT (191989.2533895282 450420.94983982726),4,2.0,207.0,11.0,intersection_submunicipality,191989.2533895282,450420.94983982726
41,41,POINT (196515.52947243338 448561.8072951893),2,2.0,386.0,22.0,intersection_submunicipality,196515.52947243338,448561.8072951893
42,42,POINT (194756.53907363722 444309.6500884754),5,3.0,117.0,5.0,intersection,194756.53907363722,444309.6500884754
43,43,POINT (196655.2762237922 445269.60710250086),63,14.0,106.0,5.0,submunicipality_detailed,196655.2762237922,445269.60710250086
44,44,POINT (203139.73314564984 454493.3066543563),1,1.0,294.0,17.0,intersection_submunicipality,203139.73314564984,454493.3066543563
45,45,POINT (202616.75977490415 456306.3985033128),1,1.0,303.0,17.0,intersection_submunicipality,202616.75977490415,456306.3985033128
46,46,POINT (203052.29774897086 455585.82180384826),2,2.0,302.0,17.0,intersection_submunicipality,203052.29774897086,455585.82180384826
47,47,POINT (206683.531769481 447805.7097725302),1,1.0,344.0,20.0,intersection_submunicipality,206683.531769481,447805.7097725302
48,48,POINT (195603.74351384366 453225.2968177245),1,1.0,229.0,12.0,intersection_submunicipality,195603.74351384366,453225.2968177245
49,49,POINT (195654.31299039754 445058.3595503153),128,8.0,106.0,5.0,submunicipality_detailed,195654.31299039754,445058.3595503153
50,50,POINT (192479.6137270179 437771.864885334),1,1.0,138.0,7.0,intersection_submunicipality,192479.6137270179,437771.864885334
51,51,POINT (193419.58954583178 445701.99119028746),34,4.0,132.0,6.0,intersection,193419.58954583178,445701.99119028746
52,52,POINT (209245.3962894074 444696.4634264853),1,1.0,31.0,1.0,intersection_submunicipality,209245.3962894074,444696.4634264853
53,53,POINT (205955.0763312988 450627.7394078928),1,1.0,361.0,21.0,intersection_submunicipality,205955.0763312988,450627.7394078928
54,54,POINT (206123.3775576492 450076.08232871554),1,1.0,362.0,21.0,intersection_submunicipality,206123.3775576492,450076.08232871554
55,55,POINT (202012.7042116728 451434.6789492267),1,1.0,397.0,23.0,intersection_submunicipality,202012.7042116728,451434.6789492267
56,56,POINT (196468.3350547423 443619.21632605814),1,1.0,118.0,5.0,submunicipality_detailed,196468.3350547423,443619.21632605814
57,57,POINT (193708.06540364033 442462.30312682095),24,5.0,93.0,4.0,intersection,193708.06540364033,442462.30312682095
58,58,POINT (202052.09828050004 450963.60598154174),2,1.0,398.0,23.0,intersection_submunicipality,202052.09828050004,450963.60598154174
59,59,POINT (195180.5057232253 444452.32092502486),8,4.0,117.0,5.0,intersection,195180.5057232253,444452.32092502486
60,60,POINT (185741.9069821233 442804.75828032417),1,1.0,152.0,8.0,intersection_submunicipality,185741.9069821233,442804.75828032417
61,61,POINT (193968.88568744838 441787.15336294915),1,1.0,97.0,4.0,intersection_submunicipality,193968.88568744838,441787.15336294915
62,62,POINT (205340.99415248545 441658.79219277925),1,1.0,54.0,2.0,intersection_submunicipality,205340.99415248545,441658.79219277925
63,63,POINT (204657.99502290867 443091.9487680157),2,2.0,55.0,2.0,intersection_submunicipality,204657.99502290867,443091.9487680157
64,64,POINT (205098.75316559488 443989.5573887795),1,1.0,59.0,2.0,intersection_submunicipality,205098.75316559488,443989.5573887795
65,65,POINT (193324.9116981613 445597.506375682),20,4.0,132.0,6.0,intersection,193324.9116981613,445597.506375682
66,66,POINT (195646.3157478776 447538.4235656411),1,1.0,387.0,22.0,intersection_submunicipality,195646.3157478776,447538.4235656411
67,67,POINT (193211.62589066382 445218.3509582509),108,1.0,132.0,6.0,intersection,193211.62589066382,445218.3509582509
68,68,POINT (195505.2976913916 445604.24335031817),12,6.0,106.0,5.0,submunicipality_detailed,195505.2976913916,445604.24335031817
69,69,POINT (193097.5735337659 444863.56646979105),2,2.0,132.0,6.0,intersection,193097.5735337659,444863.56646979105
70,70,POINT (196307.1047723646 445557.1831436408),13,7.0,106.0,5.0,submunicipality_detailed,196307.1047723646,445557.1831436408
71,71,POINT (194564.9002453896 444758.59358217404),4,4.0,119.0,5.0,intersection,194564.9002453896,444758.59358217404
72,72,POINT (205819.19741031816 443701.92724804935),1,1.0,45.0,2.0,intersection_submunicipality,205819.19741031816,443701.92724804935
73,73,POINT (196397.125004425 445274.9555227341),39,3.0,106.0,5.0,submunicipality_detailed,196397.125004425,445274.9555227341
74,74,POINT (196076.55395588672 443208.3993963348),22,4.0,118.0,5.0,submunicipality_detailed,196076.55395588672,443208.3993963348
75,75,POINT (195707.79343342473 441833.398482418),14,3.0,87.0,4.0,intersection,195707.79343342473,441833.398482418
76,76,POINT (186613.27656175243 447407.4130349286),1,1.0,173.0,9.0,intersection_submunicipality,186613.27656175243,447407.4130349286
77,77,POINT (192063.9645523218 444848.31394624535),1,1.0,131.0,6.0,intersection_submunicipality,192063.9645523218,444848.31394624535
78,78,POINT (197051.63256427326 455932.74762370554),1,1.0,419.0,24.0,intersection_submunicipality,197051.63256427326,455932.74762370554
79,79,POINT (194881.08003552127 454178.30190189945),3,2.0,225.0,12.0,intersection_submunicipality,194881.08003552127,454178.30190189945
80,80,POINT (196066.2133144598 454841.4415372391),2,1.0,420.0,24.0,intersection_submunicipality,196066.2133144598,454841.4415372391
81,81,POINT (199266.5471669322 450491.4088300967),1,1.0,402.0,23.0,intersection_submunicipality,199266.5471669322,450491.4088300967
82,82,POINT (192758.55019788622 441187.48419315636),5,1.0,84.0,4.0,intersection,192758.55019788622,441187.48419315636
83,83,POINT (193401.5971772714 442399.7440158509),5,1.0,93.0,4.0,intersection,193401.5971772714,442399.7440158509
84,84,POINT (192840.35472511814 440940.6875937223),16,1.0,86.0,4.0,intersection,192840.35472511814,440940.6875937223
85,85,POINT (192736.08364883906 441330.3782114222),14,1.0,84.0,4.0,intersection,192736.08364883906,441330.3782114222
86,86,POINT (192490.67063425522 441735.7525804674),12,1.0,84.0,4.0,intersection,192490.67063425522,441735.7525804674
87,87,POINT (201386.3610624224 454478.83507474186),1,1.0,295.0,17.0,intersection_submunicipality,201386.3610624224,454478.83507474186
88,88,POINT (200506.6688927089 452410.3685682132),1,1.0,413.0,24.0,intersection_submunicipality,200506.6688927089,452410.3685682132
89,89,POINT (195621.49042182014 443265.36308271857),1,1.0,118.0,5.0,submunicipality_detailed,195621.49042182014,443265.36308271857
90,90,POINT (196288.1795043126 443647.7069473293),1,1.0,118.0,5.0,submunicipality_detailed,196288.1795043126,443647.7069473293
91,91,POINT (196940.62964082503 442922.6216089282),1,1.0,111.0,5.0,intersection_submunicipality,196940.62964082503,442922.6216089282
92,92,POINT (187720.89223251617 450590.99317241856),1,1.0,170.0,9.0,intersection_submunicipality,187720.89223251617,450590.99317241856
93,93,POINT (196381.68949465855 443400.60593140626),2,2.0,118.0,5.0,submunicipality_detailed,196381.68949465855,443400.60593140626
94,94,POINT (191527.76694762163 449983.5148017549),58,1.0,210.0,11.0,intersection,191527.76694762163,449983.5148017549
95,95,POINT (191672.38020174016 450040.14947510307),20,1.0,210.0,11.0,intersection,191672.38020174016,450040.14947510307
96,96,POINT (191323.48094860237 436987.51092790265),1,1.0,140.0,7.0,intersection_submunicipality,191323.48094860237,436987.51092790265
97,97,POINT (197466.6900422889 444831.2441524752),6,1.0,107.0,5.0,submunicipality_detailed,197466.6900422889,444831.2441524752
98,98,POINT (196656.84456274981 447888.5214819858),1,1.0,385.0,22.0,intersection_submunicipality,196656.84456274981,447888.5214819858
99,99,POINT (199098.336943276 448003.15230040025),1,1.0,381.0,22.0,intersection_submunicipality,199098.336943276,448003.15230040025
100,100,POINT (211400.68029181074 449348.48076944286),256,,,0.0,municipality,211400.68029181074,449348.48076944286
101,101,POINT (188135.78087887063 446725.1813380582),13,,,10.0,municipality,188135.78087887063,446725.1813380582
102,102,POINT (193153.76235631428 457148.9542670139),208,,,13.0,municipality,193153.76235631428,457148.9542670139
103,103,POINT (206483.12580423182 458155.2821740346),4,,,14.0,municipality,206483.12580423182,458155.2821740346
104,104,POINT (203848.16743586416 463574.3060597244),2,,,15.0,municipality,203848.16743586416,463574.3060597244
105,105,POINT (207618.1561562574 453946.265415544),9,,,18.0,municipality,207618.1561562574,453946.265415544
106,106,POINT (204467.64531214035 452384.109314863),43,,,19.0,municipality,204467.64531214035,452384.109314863
107,107,POINT (208265.89747220866 445116.96352602995),8,,18.0,1.0,submunicipality,208265.89747220866,445116.96352602995
108,108,POINT (207021.92457118793 445653.77364145947),23,,19.0,1.0,submunicipality,207021.92457118793,445653.77364145947
109,109,POINT (206726.9150546644 444974.984950813),3,,20.0,1.0,submunicipality,206726.9150546644,444974.984950813
110,110,POINT (208860.827579493 445758.36422927096),15,,21.0,1.0,submunicipality,208860.827579493,445758.36422927096
111,111,POINT (209693.4628117388 446093.7549385665),8,,22.0,1.0,submunicipality,209693.4628117388,446093.7549385665
