,id_participant,merged_datetime,node_id,speed,prev_node_id
4,1,2023-10-04 17:00:27.567000+09:00,2,0.059689417825392915,1
5,1,2023-10-05 10:00:05.555000+09:00,1,0.002949724417823267,2
6,1,2023-10-05 11:00:05.135000+09:00,1,0.0009028616902263597,1
7,1,2023-10-05 12:00:07.012000+09:00,2,0.04548908492091375,1
8,1,2023-10-05 13:00:26.371000+09:00,3,0.011487205955153217,2
9,1,2023-10-05 13:16:25.709000+09:00,2,0.056931819897915514,3
13,1,2023-10-05 16:00:34.126000+09:00,1,0.02183844843705303,2
14,1,2023-10-05 17:00:03.226000+09:00,1,0.00847946999817068,1
15,1,2023-10-05 22:14:09.997000+09:00,4,0.014564858979975354,1
17,1,2023-10-06 12:00:11.334000+09:00,1,0.006957917263834364,4
19,1,2023-10-06 12:06:27.806000+09:00,2,1.0851079577782665,1
21,1,2023-10-06 13:00:34.916000+09:00,2,0.09959509053029839,2
22,1,2023-10-06 14:00:03.622000+09:00,3,0.017914256449799038,2
23,1,2023-10-06 17:00:13.851000+09:00,3,0.00731834492413622,3
24,1,2023-10-06 20:59:31.203000+09:00,1,0.017153051498407804,3
27,1,2023-10-06 21:06:58.938000+09:00,5,1.1168985310529655,1
28,1,2023-10-07 19:54:32.252000+09:00,1,0.006214930517620756,5
29,1,2023-10-08 15:13:12.729000+09:00,4,0.0036064776683316833,1
30,1,2023-10-08 16:01:25.601000+09:00,2,0.1703025877157011,4
32,1,2023-10-08 20:10:47.343000+09:00,6,0.03388239301119242,2
33,1,2023-10-08 20:42:50.711000+09:00,2,0.26423699174466314,6
34,1,2023-10-09 16:00:19.581000+09:00,1,0.0019899461687099525,2
41,1,2023-10-09 17:00:31.520000+09:00,3,0.013822628175937792,1
35,1,2023-10-10 09:56:43.293000+09:00,4,0.0071455172562109774,3
37,1,2023-10-10 12:01:25.098000+09:00,3,0.05583616785381405,4
42,1,2023-10-10 17:00:13.545000+09:00,1,0.0016304674890788042,3
43,1,2023-10-10 20:41:46.257000+09:00,7,0.032758298587709546,1
46,1,2023-10-11 01:41:16.690000+09:00,4,0.0155755429282019,7
47,1,2023-10-11 10:01:16.287000+09:00,3,0.013151750049406143,4
48,1,2023-10-11 10:55:30.716000+09:00,2,0.030459572845954203,3
50,1,2023-10-11 11:00:32.310000+09:00,3,0.21299752751496637,2
51,1,2023-10-11 13:00:20.655000+09:00,1,0.01776757030109379,3
52,1,2023-10-11 16:00:11.063000+09:00,1,0.008460522696390582,1
53,1,2023-10-12 01:15:54.017000+09:00,4,0.009812934987740215,1
54,1,2023-10-12 14:54:34.604000+09:00,1,0.007578436382748532,4
58,1,2023-10-12 16:00:24.626000+09:00,1,0.025095906075350005,1
59,1,2023-10-12 17:00:14.105000+09:00,1,0.012560843063166204,1
60,1,2023-10-12 20:56:30.526000+09:00,1,0.015177991429825972,1
61,1,2023-10-13 04:07:12.975000+09:00,4,0.007411293260073692,1
62,1,2023-10-13 11:24:14.682000+09:00,8,0.01676706228100071,4
65,1,2023-10-13 12:00:08.014000+09:00,4,0.09819627048576436,8
66,1,2023-10-13 13:10:26.990000+09:00,1,0.11770346358858204,4
67,1,2023-10-13 14:01:32.460000+09:00,2,0.11611705565518594,1
68,1,2023-10-13 15:01:14.916000+09:00,2,0.006654838327421633,2
69,1,2023-10-13 16:00:16.008000+09:00,2,0.0034338554368113605,2
70,1,2023-10-13 17:10:59.684000+09:00,2,0.008684434032440338,2
71,1,2023-10-13 18:11:58.784000+09:00,2,0.0011956332073355634,2
75,1,2023-10-13 19:45:03.589000+09:00,1,0.08455648586714264,2
77,1,2023-10-15 10:49:24.810000+09:00,2,0.004601335683135861,1
78,1,2023-10-16 06:41:09.851000+09:00,1,0.0071897407675868856,2
81,1,2023-10-16 06:58:51.259000+09:00,4,0.21256953990802024,1
82,1,2023-10-16 13:35:11.733000+09:00,3,0.01687475944025474,4
83,1,2023-10-16 14:14:43.125000+09:00,3,0.07549690211271659,3
84,1,2023-10-16 14:44:20.613000+09:00,2,0.05069970323286578,3
86,1,2023-10-16 18:20:25.999000+09:00,6,0.038568151248455626,2
89,1,2023-10-16 20:02:16.001000+09:00,4,0.16171648738654762,6
91,1,2023-10-16 23:56:38.699000+09:00,2,0.036620123369041614,4
92,1,2023-10-17 05:13:14.631000+09:00,4,0.027891749252521636,2
93,1,2023-10-17 16:43:32.818000+09:00,1,0.007843368275813438,4
94,1,2023-10-17 17:43:55.230000+09:00,1,0.0011295925896289013,1
95,1,2023-10-17 19:33:01.485000+09:00,2,0.03184523892201833,1
98,1,2023-10-17 20:45:09+09:00,7,0.11568016473017254,2
100,1,2023-10-17 20:52:19.998000+09:00,9,1.1608974360976954,7
102,1,2023-10-17 22:06:52.301000+09:00,5,0.11928160703187578,9
105,1,2023-10-18 01:25:56.313000+09:00,1,0.04321694449226691,5
107,1,2023-10-18 10:00:09.909000+09:00,3,0.0032539611316915393,1
108,1,2023-10-18 21:30:45.296000+09:00,10,0.00977933243913925,3
111,1,2023-10-19 03:35:33.432000+09:00,1,0.023505485322755953,10
114,1,2023-10-19 12:00:32.776000+09:00,1,0.004100707450950128,1
115,1,2023-10-19 14:16:32.108000+09:00,1,0.010414938484213628,1
116,1,2023-10-19 15:00:04.390000+09:00,1,0.00237773150058514,1
117,1,2023-10-19 16:00:16.408000+09:00,1,0.0024203545329656256,1
118,1,2023-10-20 04:53:41.015000+09:00,4,0.006588673172023049,1
119,1,2023-10-21 00:06:58.157000+09:00,2,0.007468628525664074,4
120,1,2023-10-21 07:35:28.932000+09:00,4,0.018871768066979707,2
122,1,2023-10-21 08:48:40.480000+09:00,2,0.11487994992799253,4
124,1,2023-10-21 22:21:34.247000+09:00,4,0.010691254746941301,2
126,1,2023-10-22 07:29:49.062000+09:00,8,0.015806214272874916,4
132,1,2023-10-22 07:36:08.431000+09:00,181,4.067197548917399,8
156,1,2023-10-22 07:58:39.748000+09:00,101,4.072827228306079,181
161,1,2023-10-22 08:16:20.963000+09:00,11,1.0242413688776812,101
163,1,2023-10-22 13:44:39.027000+09:00,101,0.06132865523933712,11
183,1,2023-10-22 14:00:02.083000+09:00,101,1.6779462258533075,101
186,1,2023-10-22 14:09:06.811000+09:00,178,1.3875208986928615,101
271,1,2023-10-22 16:20:05.614000+09:00,1,0.8276008744101327,178
274,1,2023-10-22 18:03:55.364000+09:00,10,0.09607581082968225,1
275,1,2023-10-22 19:06:11.141000+09:00,1,0.14610809732235341,10
276,1,2023-10-23 11:50:51.562000+09:00,5,0.008411348361599777,1
277,1,2023-10-23 12:00:16.439000+09:00,5,0.15078667188293268,5
278,1,2023-10-23 12:41:50.811000+09:00,3,0.2555794907336026,5
280,1,2023-10-23 13:00:13.489000+09:00,3,0.029938140337040536,3
281,1,2023-10-23 14:00:04.978000+09:00,1,0.018600887207767692,3
282,1,2023-10-23 15:00:06.338000+09:00,3,0.01099752058671838,1
291,1,2023-10-23 15:37:04.905000+09:00,3,0.01661131290330256,3
292,1,2023-10-23 16:00:32.469000+09:00,3,0.014378832770417769,3
293,1,2023-10-23 16:24:59.542000+09:00,10,0.3688033665884684,3
298,1,2023-10-23 16:42:32.107000+09:00,3,0.49831691844618536,10
299,1,2023-10-23 17:00:13.405000+09:00,2,0.10356000403396906,3
300,1,2023-10-23 19:25:35.866000+09:00,6,0.05390219043222893,2
303,1,2023-10-23 20:06:53.652000+09:00,2,0.20662752841765522,6
306,1,2023-10-24 07:43:05.431000+09:00,1,0.0030755880841100247,2
308,1,2023-10-24 11:00:07.648000+09:00,1,0.003008501058758953,1
309,1,2023-10-24 12:12:12.758000+09:00,1,0.011102782802621568,1
310,1,2023-10-24 15:00:07.692000+09:00,1,5.360430436633533e-08,1
311,1,2023-10-24 16:00:30.730000+09:00,2,0.04440168258094902,1
312,1,2023-10-25 02:20:02.516000+09:00,4,0.013514040961516113,2
313,1,2023-10-25 06:48:06.632000+09:00,2,0.03190465560869311,4
315,1,2023-10-25 09:14:32.628000+09:00,2,0.004555047815045174,2
316,1,2023-10-25 10:26:31.731000+09:00,3,0.016193885276968755,2
317,1,2023-10-25 10:59:50.187000+09:00,1,0.03936866884419381,3
318,1,2023-10-25 11:09:35.539000+09:00,3,0.13055752889990604,1
319,1,2023-10-25 12:00:17.693000+09:00,1,0.02142147897008716,3
320,1,2023-10-25 13:00:09.039000+09:00,3,0.01876741882752066,1
321,1,2023-10-25 13:58:11.692000+09:00,3,0.03949482627646754,3
323,1,2023-10-25 15:00:11.573000+09:00,4,0.10392958893285487,3
324,1,2023-10-25 15:11:38.066000+09:00,4,0.00017588385368612726,4
325,1,2023-10-25 15:52:01.697000+09:00,4,0.0,4
326,1,2023-10-25 16:03:02.401000+09:00,4,0.0,4
327,1,2023-10-25 19:01:03.264000+09:00,1,0.034192629367039894,4
328,1,2023-10-25 19:24:26.619000+09:00,10,0.3537127902447801,1
329,1,2023-10-25 20:15:36.871000+09:00,1,0.1629252460858342,10
330,1,2023-10-25 21:48:30.016000+09:00,3,0.004847166900125794,1
331,1,2023-10-26 01:04:57.480000+09:00,2,0.016698763782392236,3
340,1,2023-10-26 01:13:33.348000+09:00,2,0.2220780946262408,2
341,1,2023-10-26 02:01:43.678000+09:00,3,0.02214868913334582,2
348,1,2023-10-26 02:14:13.389000+09:00,2,0.11385011851159639,3
350,1,2023-10-26 08:43:18.466000+09:00,3,0.0024469264512497497,2
351,1,2023-10-26 15:55:10.801000+09:00,1,0.004961547462545475,3
352,1,2023-10-26 16:00:34.670000+09:00,1,0.015539792128878653,1
353,1,2023-10-26 16:51:39.660000+09:00,1,0.005197759419136564,1
354,1,2023-10-26 17:00:05.672000+09:00,1,0.05057996432832855,1
355,1,2023-10-26 20:16:15.936000+09:00,3,0.009261292451578428,1
