,node_id,node_x,node_y,geometry,Indoors,in_Seoul
0,1,219939.63060775254,449673.1746112815,POINT (219939.63060775254 449673.1746112815),False,False
1,2,213928.90757068226,464184.343687045,POINT (213928.90757068226 464184.343687045),False,False
2,3,199417.73849491874,470195.0667241153,POINT (199417.73849491874 470195.0667241153),False,False
3,4,184906.56941915522,464184.343687045,POINT (184906.56941915522 464184.343687045),True,False
4,5,178895.84638208494,449673.1746112815,POINT (178895.84638208494 449673.1746112815),False,False
5,6,184906.56941915522,435162.005535518,POINT (184906.56941915522 435162.005535518),False,False
6,7,199417.73849491874,429151.2824984477,POINT (199417.73849491874 429151.2824984477),False,False
7,8,213928.90757068226,435162.005535518,POINT (213928.90757068226 435162.005535518),True,False
8,9,195680.62103342637,444544.46771896136,POINT (195680.62103342637 444544.46771896136),True,True
9,10,186644.18588775888,443518.7051426129,POINT (186644.18588775888 443518.7051426129),True,True
10,11,196026.95855227867,444478.5298280074,POINT (196026.95855227867 444478.5298280074),True,True
11,12,201596.63235018455,445133.1363409248,POINT (201596.63235018455 445133.1363409248),True,True
12,13,210801.89405046892,449797.4020479181,POINT (210801.89405046892 449797.4020479181),True,True
13,14,193124.67316361595,445225.06982655666,POINT (193124.67316361595 445225.06982655666),True,True
14,15,193413.48990614773,446547.0466592558,POINT (193413.48990614773 446547.0466592558),True,True
15,16,196125.7074884111,445134.80946784915,POINT (196125.7074884111 445134.80946784915),True,True
16,17,195750.70735757094,445061.5578899602,POINT (195750.70735757094 445061.5578899602),True,True
17,18,196106.14715478526,444483.07738644467,POINT (196106.14715478526 444483.07738644467),True,True
18,19,196363.548525805,444940.83489648456,POINT (196363.548525805 444940.83489648456),True,True
19,20,195290.64664459953,441995.0064803728,POINT (195290.64664459953 441995.0064803728),True,True
20,21,192769.29296840492,459333.4927356177,POINT (192769.29296840492 459333.4927356177),True,True
21,22,193160.61166219186,440955.0525038592,POINT (193160.61166219186 440955.0525038592),True,True
22,23,196097.80939216405,444449.8914839574,POINT (196097.80939216405 444449.8914839574),True,True
23,24,197298.0572920621,442830.50646648015,POINT (197298.0572920621 442830.50646648015),True,True
24,25,196069.77453160967,445143.9594048418,POINT (196069.77453160967 445143.9594048418),True,True
25,26,191340.9443409172,450143.55543936073,POINT (191340.9443409172 450143.55543936073),True,True
26,27,196315.38963257443,445269.166996048,POINT (196315.38963257443 445269.166996048),True,True
27,28,193847.98938697347,443038.95439812576,POINT (193847.98938697347 443038.95439812576),True,True
28,29,196099.74305408867,444822.1163115551,POINT (196099.74305408867 444822.1163115551),True,True
29,30,196014.9472326105,444675.25062132225,POINT (196014.9472326105 444675.25062132225),True,True
30,31,196098.2922046989,444809.2463873334,POINT (196098.2922046989 444809.2463873334),True,True
31,32,196058.99432409697,444792.3578415086,POINT (196058.99432409697 444792.3578415086),True,True
32,33,195920.56526001834,444721.8544103559,POINT (195920.56526001834 444721.8544103559),True,True
33,34,196070.65696564873,444720.5221283893,POINT (196070.65696564873 444720.5221283893),True,True
34,35,196035.12316224937,444692.69213172013,POINT (196035.12316224937 444692.69213172013),True,True
35,36,196077.24615497974,444792.1068769063,POINT (196077.24615497974 444792.1068769063),True,True
36,37,195684.06971457077,444550.7751138329,POINT (195684.06971457077 444550.7751138329),True,True
37,38,196106.46277524106,444756.7442052878,POINT (196106.46277524106 444756.7442052878),True,True
38,39,195643.59182602007,444541.2933604144,POINT (195643.59182602007 444541.2933604144),True,True
39,40,195807.78272239486,444298.32517227763,POINT (195807.78272239486 444298.32517227763),True,True
40,41,196012.6525235279,444766.8389920748,POINT (196012.6525235279 444766.8389920748),True,True
41,42,196035.51803095973,444803.01570387225,POINT (196035.51803095973 444803.01570387225),True,True
42,43,195952.365056883,444726.4428239685,POINT (195952.365056883 444726.4428239685),True,True
43,44,195255.27477175402,444838.7617475643,POINT (195255.27477175402 444838.7617475643),True,True
44,45,196095.85976846167,444835.9484457553,POINT (196095.85976846167 444835.9484457553),True,True
45,46,196117.2813622995,444843.35388360993,POINT (196117.2813622995 444843.35388360993),True,True
46,47,196049.8607236721,444661.7248958283,POINT (196049.8607236721 444661.7248958283),True,True
47,48,196010.95184627848,444823.94265284226,POINT (196010.95184627848 444823.94265284226),True,True
48,49,194876.1169649578,444800.6222870917,POINT (194876.1169649578 444800.6222870917),True,True
49,50,195944.71932504783,444826.9718036006,POINT (195944.71932504783 444826.9718036006),True,True
50,51,196009.34738306334,444711.94278862537,POINT (196009.34738306334 444711.94278862537),True,True
51,52,196372.31081466173,445046.37062712037,POINT (196372.31081466173 445046.37062712037),True,True
52,53,196121.79906065104,444885.6188564448,POINT (196121.79906065104 444885.6188564448),True,True
53,54,196037.9901486898,444822.69448088686,POINT (196037.9901486898 444822.69448088686),True,True
54,55,196038.97872636677,444600.2993347674,POINT (196038.97872636677 444600.2993347674),True,True
55,56,196084.4574012641,444810.82497651584,POINT (196084.4574012641 444810.82497651584),True,True
56,57,196110.71485049184,444853.2361845268,POINT (196110.71485049184 444853.2361845268),True,True
57,58,195677.53714869238,444542.948778624,POINT (195677.53714869238 444542.948778624),True,True
58,59,206157.08695122483,448681.5731411276,POINT (206157.08695122483 448681.5731411276),True,True
59,60,205823.86601004252,447705.00106582616,POINT (205823.86601004252 447705.00106582616),True,True
60,61,196069.4352855776,444768.09665115725,POINT (196069.4352855776 444768.09665115725),True,True
61,62,195980.0307456669,444834.285721643,POINT (195980.0307456669 444834.285721643),True,True
62,63,196077.6477433039,444826.3265682136,POINT (196077.6477433039 444826.3265682136),True,True
63,64,196087.34704071237,444789.90120611485,POINT (196087.34704071237 444789.90120611485),True,True
64,65,196102.12830106512,444787.7641147061,POINT (196102.12830106512 444787.7641147061),True,True
65,66,196069.810577098,444812.34131503606,POINT (196069.810577098 444812.34131503606),True,True
66,67,195933.19017934534,444779.81756015815,POINT (195933.19017934534 444779.81756015815),True,True
67,68,196722.5395869232,445046.09837255,POINT (196722.5395869232 445046.09837255),True,True
